Game Name,Away Team,Home Team,Cutoff Time,Away Odds,Home Odds
CHA Hornets v WAS Wizards,WAS Wizards,CHA Hornets,2025-03-01T23:00:00Z,138,-156
DET Pistons v BKN Nets,BKN Nets,DET Pistons,2025-03-02T00:00:00Z,437,-561
HOU Rockets v SAC Kings,SAC Kings,HOU Rockets,2025-03-02T01:00:00Z,174,-198
MEM Grizzlies v SA Spurs,SA Spurs,MEM Grizzlies,2025-03-02T01:00:00Z,286,-343
DAL Mavericks v MIL Bucks,MIL Bucks,DAL Mavericks,2025-03-02T01:30:00Z,-156,139
PHI 76ers v GS Warriors,GS Warriors,PHI 76ers,2025-03-02T01:30:00Z,-318,268
BOS Celtics v DEN Nuggets,DEN Nuggets,BOS Celtics,2025-03-02T18:00:00Z,0,0
CLE Cavaliers v POR Trail Blazers,POR Trail Blazers,CLE Cavaliers,2025-03-02T20:30:00Z,0,0
IND Pacers v CHI Bulls,CHI Bulls,IND Pacers,2025-03-02T22:00:00Z,0,0
MIA Heat v NY Knicks,NY Knicks,MIA Heat,2025-03-02T23:00:00Z,0,0
ORL Magic v TOR Raptors,TOR Raptors,ORL Magic,2025-03-02T23:00:00Z,0,0
SA Spurs v OKC Thunder,OKC Thunder,SA Spurs,2025-03-03T00:00:00Z,0,0
UTA Jazz v NO Pelicans,NO Pelicans,UTA Jazz,2025-03-03T01:00:00Z,0,0
LA Lakers v LA Clippers,LA Clippers,LA Lakers,2025-03-03T02:30:00Z,0,0
PHX Suns v MIN Timberwolves,MIN Timberwolves,PHX Suns,2025-03-03T02:30:00Z,0,0
CHA Hornets v GS Warriors,GS Warriors,CHA Hornets,2025-03-04T00:00:00Z,0,0
PHI 76ers v POR Trail Blazers,POR Trail Blazers,PHI 76ers,2025-03-04T00:00:00Z,0,0
MIA Heat v WAS Wizards,WAS Wizards,MIA Heat,2025-03-04T00:30:00Z,0,0
MEM Grizzlies v ATL Hawks,ATL Hawks,MEM Grizzlies,2025-03-04T01:00:00Z,0,0
OKC Thunder v HOU Rockets,HOU Rockets,OKC Thunder,2025-03-04T01:00:00Z,0,0
DAL Mavericks v SAC Kings,SAC Kings,DAL Mavericks,2025-03-04T01:30:00Z,0,0
UTA Jazz v DET Pistons,DET Pistons,UTA Jazz,2025-03-04T02:00:00Z,0,0
IND Pacers v HOU Rockets,HOU Rockets,IND Pacers,2025-03-05T00:00:00Z,0,0
ORL Magic v TOR Raptors,TOR Raptors,ORL Magic,2025-03-05T00:00:00Z,0,0
ATL Hawks v MIL Bucks,MIL Bucks,ATL Hawks,2025-03-05T00:30:00Z,0,0
NY Knicks v GS Warriors,GS Warriors,NY Knicks,2025-03-05T00:30:00Z,0,0
CHI Bulls v CLE Cavaliers,CLE Cavaliers,CHI Bulls,2025-03-05T01:00:00Z,0,0
MIN Timberwolves v PHI 76ers,PHI 76ers,MIN Timberwolves,2025-03-05T01:00:00Z,0,0
SA Spurs v BKN Nets,BKN Nets,SA Spurs,2025-03-05T01:30:00Z,0,0
PHX Suns v LA Clippers,LA Clippers,PHX Suns,2025-03-05T03:00:00Z,0,0
LA Lakers v NO Pelicans,NO Pelicans,LA Lakers,2025-03-05T03:30:00Z,0,0
BOS Celtics v POR Trail Blazers,POR Trail Blazers,BOS Celtics,2025-03-06T00:00:00Z,0,0
CHA Hornets v MIN Timberwolves,MIN Timberwolves,CHA Hornets,2025-03-06T00:00:00Z,0,0
CLE Cavaliers v MIA Heat,MIA Heat,CLE Cavaliers,2025-03-06T00:00:00Z,0,0
WAS Wizards v UTA Jazz,UTA Jazz,WAS Wizards,2025-03-06T00:00:00Z,0,0
MIL Bucks v DAL Mavericks,DAL Mavericks,MIL Bucks,2025-03-06T01:00:00Z,0,0
DEN Nuggets v SAC Kings,SAC Kings,DEN Nuggets,2025-03-06T02:00:00Z,0,0
MEM Grizzlies v OKC Thunder,OKC Thunder,MEM Grizzlies,2025-03-06T02:30:00Z,0,0
LA Clippers v DET Pistons,DET Pistons,LA Clippers,2025-03-06T03:30:00Z,0,0
ORL Magic v CHI Bulls,CHI Bulls,ORL Magic,2025-03-07T00:00:00Z,0,0
ATL Hawks v IND Pacers,IND Pacers,ATL Hawks,2025-03-07T00:30:00Z,0,0
BKN Nets v GS Warriors,GS Warriors,BKN Nets,2025-03-07T00:30:00Z,0,0
BOS Celtics v PHI 76ers,PHI 76ers,BOS Celtics,2025-03-07T00:30:00Z,0,0
NO Pelicans v HOU Rockets,HOU Rockets,NO Pelicans,2025-03-07T01:00:00Z,0,0
LA Lakers v NY Knicks,NY Knicks,LA Lakers,2025-03-07T03:00:00Z,0,0
CHA Hornets v CLE Cavaliers,CLE Cavaliers,CHA Hornets,2025-03-08T00:00:00Z,0,0
DAL Mavericks v MEM Grizzlies,MEM Grizzlies,DAL Mavericks,2025-03-08T00:30:00Z,0,0
TOR Raptors v UTA Jazz,UTA Jazz,TOR Raptors,2025-03-08T00:30:00Z,0,0
MIA Heat v MIN Timberwolves,MIN Timberwolves,MIA Heat,2025-03-08T01:00:00Z,0,0
OKC Thunder v POR Trail Blazers,POR Trail Blazers,OKC Thunder,2025-03-08T01:00:00Z,0,0
DEN Nuggets v PHX Suns,PHX Suns,DEN Nuggets,2025-03-08T03:00:00Z,0,0
SAC Kings v SA Spurs,SA Spurs,SAC Kings,2025-03-08T03:00:00Z,0,0
LA Clippers v NY Knicks,NY Knicks,LA Clippers,2025-03-08T03:30:00Z,0,0
CHA Hornets v BKN Nets,BKN Nets,CHA Hornets,2025-03-08T23:00:00Z,0,0
HOU Rockets v NO Pelicans,NO Pelicans,HOU Rockets,2025-03-09T00:00:00Z,0,0
ATL Hawks v IND Pacers,IND Pacers,ATL Hawks,2025-03-09T00:30:00Z,0,0
TOR Raptors v WAS Wizards,WAS Wizards,TOR Raptors,2025-03-09T00:30:00Z,0,0
MIA Heat v CHI Bulls,CHI Bulls,MIA Heat,2025-03-09T01:00:00Z,0,0
MIL Bucks v ORL Magic,ORL Magic,MIL Bucks,2025-03-09T01:00:00Z,0,0
