Visitor/Neutral,PTS,Home/Neutral,PTS2,AwayOdds,HomeOdds,Date,Start (ET),Attend.,LOG,Arena
Indiana Pacers,119,New Orleans Pelicans,104,-268,230,2024-12-15,5:00p,16792,2:08,Gainbridge Fieldhouse
Orlando Magic,91,New York Knicks,100,163,-185,2024-12-15,6:00p,17029,2:22,Kia Center
Washington Wizards,98,Boston Celtics,112,1145,-1851,2024-12-15,6:00p,16227,2:05,Capital One Arena
San Antonio Spurs,92,Minnesota Timberwolves,106,156,-177,2024-12-15,7:00p,16816,2:03,Frost Bank Center
Phoenix Suns,116,Portland Trail Blazers,109,-636,486,2024-12-15,8:00p,17071,2:06,Footprint Center
Los Angeles Lakers,116,Memphis Grizzlies,110,164,-186,2024-12-15,9:30p,15106,2:34,Crypto.com Arena
Detroit Pistons,125,Miami Heat,124,162,-184,2024-12-16,7:00p,17810,2:35,Little Caesars Arena
Charlotte Hornets,108,Philadelphia 76ers,121,134,-150,2024-12-16,7:00p,14677,2:22,Spectrum Center
Brooklyn Nets,101,Cleveland Cavaliers,130,407,-515,2024-12-16,7:30p,16588,2:18,Barclays Center
Toronto Raptors,121,Chicago Bulls,122,109,-122,2024-12-16,7:30p,16324,2:25,Scotiabank Arena
Detroit Pistons,119,Utah Jazz,126,-196,146,2024-12-19,7:00p,18022,2:32,Little Caesars Arena
Orlando Magic,99,Oklahoma City Thunder,105,189,-263,2024-12-19,7:00p,18896,2:26,Kia Center
Detroit Pistons,119,Utah Jazz,126,-181,135,2024-12-19,7:00p,18022,2:32,Little Caesars Arena
Washington Wizards,123,Charlotte Hornets,114,134,-178,2024-12-19,7:00p,15256,2:24,Capital One Arena
Toronto Raptors,94,Brooklyn Nets,101,-175,131,2024-12-19,7:30p,19214,2:20,Scotiabank Arena
Boston Celtics,108,Chicago Bulls,117,-1428,617,2024-12-19,7:30p,19156,2:06,TD Garden
Boston Celtics,98,Chicago Bulls,123,-1428,617,2024-12-21,8:00p,19803,1:57,United Center
San Antonio Spurs,133,Atlanta Hawks,126,-120,-109,2024-12-19,8:00p,17852,2:36,Frost Bank Center
Houston Rockets,133,New Orleans Pelicans,113,-555,350,2024-12-19,8:00p,18055,2:13,Toyota Center
Phoenix Suns,111,Indiana Pacers,120,-270,192,2024-12-19,9:00p,17071,2:17,Footprint Center
Minnesota Timberwolves,107,New York Knicks,133,-140,106,2024-12-19,9:30p,18978,2:13,Target Center
Sacramento Kings,100,Los Angeles Lakers,113,-222,163,2024-12-19,10:00p,17832,2:18,Golden 1 Center
Sacramento Kings,99,Los Angeles Lakers,103,-222,163,2024-12-21,6:00p,17832,2:13,Golden 1 Center
Philadelphia 76ers,108,Charlotte Hornets,98,-1111,548,2024-12-20,7:00p,20291,2:16,Wells Fargo Center
Cleveland Cavaliers,124,Milwaukee Bucks,101,-434,287,2024-12-20,7:30p,19432,2:03,Rocket Mortgage Fieldhouse
Miami Heat,97,Oklahoma City Thunder,104,-117,-112,2024-12-20,8:00p,19801,2:17,Kaseya Center
Sacramento Kings,99,Los Angeles Lakers,103,-198,175,2024-12-21,6:00p,17832,2:13,Golden 1 Center
Orlando Magic,121,Miami Heat,114,-139,124,2024-12-21,7:00p,18080,2:32,Kia Center
Atlanta Hawks,112,Memphis Grizzlies,128,100,-112,2024-12-21,7:30p,16909,2:04,State Farm Arena
Brooklyn Nets,94,Utah Jazz,105,-126,113,2024-12-21,7:30p,17926,2:06,Barclays Center
Cleveland Cavaliers,126,Philadelphia 76ers,99,-552,432,2024-12-21,8:00p,19432,2:06,Rocket Mortgage Fieldhouse
Chicago Bulls,98,Boston Celtics,123,536,-719,2024-12-21,8:00p,19803,1:57,United Center
Milwaukee Bucks,112,Washington Wizards,101,-625,478,2024-12-21,8:00p,17341,1:54,Fiserv Forum
New Orleans Pelicans,93,New York Knicks,104,258,-304,2024-12-21,8:00p,16696,2:07,Smoothie King Center
San Antonio Spurs,114,Portland Trail Blazers,94,-265,227,2024-12-21,8:30p,18354,2:06,Frost Bank Center
Phoenix Suns,125,Detroit Pistons,133,-238,206,2024-12-21,9:00p,17071,2:22,Footprint Center
Sacramento Kings,95,Indiana Pacers,122,-130,116,2024-12-22,6:00p,17832,2:00,Golden 1 Center
Toronto Raptors,110,Houston Rockets,114,268,-318,2024-12-22,6:00p,19305,2:14,Scotiabank Arena
Orlando Magic,108,Boston Celtics,104,387,-487,2024-12-23,7:00p,18846,2:26,Kia Center
Philadelphia 76ers,111,San Antonio Spurs,106,-208,182,2024-12-23,7:00p,19986,2:20,Wells Fargo Center
Charlotte Hornets,101,Houston Rockets,114,209,-241,2024-12-23,7:00p,19134,2:03,Spectrum Center
Cleveland Cavaliers,124,Utah Jazz,113,-1052,742,2024-12-23,7:00p,19432,2:09,Rocket Mortgage Fieldhouse
Miami Heat,110,Brooklyn Nets,95,-515,407,2024-12-23,7:30p,19832,2:10,Kaseya Center
Atlanta Hawks,117,Minnesota Timberwolves,104,142,-160,2024-12-23,7:30p,17051,2:12,State Farm Arena
New York Knicks,139,Toronto Raptors,125,-862,619,2024-12-23,7:30p,19812,2:19,Madison Square Garden (IV)
Oklahoma City Thunder,123,Washington Wizards,105,-1492,978,2024-12-23,8:00p,18203,2:17,Paycom Center
Chicago Bulls,91,Milwaukee Bucks,112,107,-119,2024-12-23,8:00p,21234,2:02,United Center
Dallas Mavericks,132,Portland Trail Blazers,108,-588,453,2024-12-23,8:30p,20225,2:15,American Airlines Center
Los Angeles Lakers,114,Detroit Pistons,117,-222,193,2024-12-23,10:30p,18997,2:11,Crypto.com Arena
New York Knicks,117,San Antonio Spurs,114,-434,294,2024-12-25,12:00p,19812,2:19,Madison Square Garden (IV)
Dallas Mavericks,99,Minnesota Timberwolves,105,-204,150,2024-12-25,2:30p,20341,2:20,American Airlines Center
Boston Celtics,114,Philadelphia 76ers,118,-454,298,2024-12-25,5:00p,19156,2:23,TD Garden
New York Knicks,117,San Antonio Spurs,114,-383,304,2024-12-25,12:00p,19812,2:19,Madison Square Garden (IV)
Dallas Mavericks,99,Minnesota Timberwolves,105,-207,177,2024-12-25,2:30p,20341,2:20,American Airlines Center
Washington Wizards,113,Charlotte Hornets,110,163,-185,2024-12-26,7:00p,17193,2:25,Capital One Arena
Orlando Magic,88,Miami Heat,89,-106,-104,2024-12-26,7:00p,18846,2:11,Kia Center
Indiana Pacers,114,Oklahoma City Thunder,120,181,-207,2024-12-26,7:00p,17274,2:11,Gainbridge Fieldhouse
Atlanta Hawks,141,Chicago Bulls,133,-251,217,2024-12-26,7:30p,17760,2:14,State Farm Arena
Memphis Grizzlies,155,Toronto Raptors,126,-653,495,2024-12-26,8:00p,17196,2:12,FedEx Forum
Milwaukee Bucks,105,Brooklyn Nets,111,-492,392,2024-12-26,8:00p,17957,2:16,Fiserv Forum
New Orleans Pelicans,111,Houston Rockets,128,255,-301,2024-12-26,8:00p,16052,2:03,Smoothie King Center
Portland Trail Blazers,122,Utah Jazz,120,-119,107,2024-12-26,10:00p,16934,2:07,Moda Center
Sacramento Kings,113,Detroit Pistons,114,-221,192,2024-12-26,10:00p,17832,2:22,Golden 1 Center
Orlando Magic,85,New York Knicks,108,230,-269,2024-12-27,7:00p,18961,2:23,Kia Center
Brooklyn Nets,87,San Antonio Spurs,96,233,-273,2024-12-27,7:30p,17990,2:20,Barclays Center
Boston Celtics,142,Indiana Pacers,105,-671,505,2024-12-27,7:30p,19156,2:08,TD Garden
New Orleans Pelicans,124,Memphis Grizzlies,132,317,-387,2024-12-27,8:00p,17328,2:24,Smoothie King Center
Houston Rockets,112,Minnesota Timberwolves,113,-115,103,2024-12-27,8:00p,18055,2:12,Toyota Center
Phoenix Suns,89,Dallas Mavericks,98,-111,100,2024-12-27,9:00p,17071,2:20,Footprint Center
Charlotte Hornets,94,Oklahoma City Thunder,106,493,-649,2024-12-28,6:00p,19325,2:09,Spectrum Center
Washington Wizards,132,New York Knicks,136,481,-628,2024-12-28,7:00p,20385,2:28,Capital One Arena
Chicago Bulls,116,Milwaukee Bucks,111,151,-170,2024-12-28,8:00p,21511,2:10,United Center
Utah Jazz,111,Philadelphiao 76ers,114,214,-249,2024-12-28,9:30p,18175,2:31,Delta Center
Portland Trail Blazers,126,Dallas Mavericks,122,173,-197,2024-12-28,10:00p,19335,2:17,Moda Center
Los Angeles Lakers,132,Sacramento Kings,122,-107,-103,2024-12-28,10:30p,18997,2:15,Crypto.com Arena
Orlando Magic,102.0,Brooklyn Nets,101.0,-319,269,2024-12-29,3:30p,19397.0,2:26,Kia Center
Boston Celtics,114.0,Indiana Pacers,123.0,-613,471,2024-12-29,6:00p,19156.0,2:13,TD Garden
Toronto Raptors,107.0,Atlanta Hawks,136.0,-103,-107,2024-12-29,6:00p,19359.0,2:18,Scotiabank Arena
Oklahoma City Thunder,130.0,Memphis Grizzlies,106.0,-251,217,2024-12-29,7:00p,18203.0,2:08,Paycom Center
Houston Rockets,100.0,Miami Heat,104.0,-359,298,2024-12-29,7:00p,18055.0,2:19,Toyota Center
Minnesota Timberwolves,112.0,San Antonio Spurs,110.0,-243,210,2024-12-29,9:00p,18978.0,2:20,Target Center
Charlotte Hornets,108.0,Chicago Bulls,115.0,180,-204,2024-12-30,7:00p,19197.0,2:24,Spectrum Center
Washington Wizards,106.0,New York Knicks,126.0,517,-689,2024-12-30,7:00p,20385.0,2:10,Capital One Arena
Sacramento Kings,110.0,Dallas Mavericks,100.0,-173,153,2024-12-30,10:00p,16844.0,2:19,Golden 1 Center
Portland Trail Blazers,103.0,Philadelphia 76ers,125.0,214,-248,2024-12-30,10:00p,16721.0,2:27,Moda Center
Boston Celtics,125.0,Toronto Raptors,71.0,-1249,850,2024-12-31,3:00p,19156.0,1:59,TD Garden
Indiana Pacers,112.0,Milwaukee Bucks,120.0,111,-124,2024-12-31,3:00p,17274.0,2:24,Gainbridge Fieldhouse
Oklahoma City Thunder,113.0,Minnesota Timberwolves,105.0,-270,231,2024-12-31,8:00p,18203.0,2:09,Paycom Center
Los Angeles Lakers,110.0,Cleveland Cavaliers,122.0,167,-190,2024-12-31,9:00p,18997.0,2:03,Crypto.com Arena
Phoenix Suns,112.0,Memphis Grizzlies,117.0,-176,156,2024-12-31,9:00p,17071.0,2:27,Footprint Center
Washington Wizards,125.0,Chicago Bulls,107.0,195,-224,2025-01-01,7:00p,16298.0,2:12,Capital One Arena
Detroit Pistons,105.0,Orlando Magic,96.0,-124,111,2025-01-01,7:00p,19399.0,2:17,Little Caesars Arena
Miami Heat,119.0,New Orleans Pelicans,108.0,-362,300,2025-01-01,7:30p,20013.0,2:10,Kaseya Center
Toronto Raptors,130.0,Brooklyn Nets,113.0,-127,114,2025-01-01,7:30p,19104.0,2:10,Scotiabank Arena
New York Knicks,119.0,Utah Jazz,103.0,-806,589,2025-01-01,7:30p,19812.0,2:06,Madison Square Garden (IV)
Houston Rockets,110.0,Dallas Mavericks,99.0,-196,173,2025-01-01,8:00p,18055.0,2:17,Toyota Center
Sacramento Kings,113.0,Philadelphia 76ers,107.0,-253,218,2025-01-01,10:00p,16024.0,2:18,Golden 1 Center
Minnesota Timberwolves,115.0,Boston Celtics,118.0,160,-181,2025-01-02,7:30p,18978.0,2:11,Target Center
Miami Heat,115.0,Indiana Pacers,128.0,-115,103,2025-01-02,7:30p,19959.0,2:05,Kaseya Center
Milwaukee Bucks,110.0,Brooklyn Nets,113.0,-806,589,2025-01-02,8:00p,17341.0,2:27,Fiserv Forum
Los Angeles Lakers,114.0,Portland Trail Blazers,106.0,-416,338,2025-01-02,10:30p,17812.0,2:09,Crypto.com Arena
Detroit Pistons,98.0,Charlotte Hornets,94.0,-265,228,2025-01-03,7:00p,18866.0,2:22,Little Caesars Arena
Toronto Raptors,97.0,Orlando Magic,106.0,103,-114,2025-01-03,7:30p,19278.0,2:07,Scotiabank Arena
New Orleans Pelicans,132.0,Washington Wizards,120.0,-286,244,2025-01-03,8:00p,17307.0,2:17,Smoothie King Center
New Orleans Pelicans,98.0,Washington Wizards,110.0,-286,244,2025-01-05,6:00p,15451.0,2:08,Capital One Arena
Houston Rockets,86.0,Boston Celtics,109.0,112,-125,2025-01-03,8:00p,18055.0,2:01,Toyota Center
Oklahoma City Thunder,117.0,New York Knicks,107.0,-180,159,2025-01-03,8:00p,,2:13,Paycom Center
Dallas Mavericks,122.0,Cleveland Cavaliers,134.0,238,-278,2025-01-03,8:30p,20231.0,2:10,American Airlines Center
Sacramento Kings,138.0,Memphis Grizzlies,133.0,-147,131,2025-01-03,10:00p,16601.0,2:25,Golden 1 Center
Los Angeles Lakers,119.0,Atlanta Hawks,102.0,-142,127,2025-01-03,10:30p,18997.0,2:10,Crypto.com Arena
Brooklyn Nets,94.0,Philadelphia 76ers,123.0,259,-306,2025-01-04,6:00p,17926.0,2:16,Barclays Center
Indiana Pacers,126.0,Phoenix Suns,108.0,-130,117,2025-01-04,7:00p,17274.0,2:07,Gainbridge Fieldhouse
Detroit Pistons,119.0,Minnesota Timberwolves,105.0,245,-287,2025-01-04,7:00p,20062.0,2:14,Little Caesars Arena
Chicago Bulls,139.0,New York Knicks,126.0,182,-208,2025-01-04,8:00p,22491.0,2:23,United Center
Milwaukee Bucks,102.0,Portland Trail Blazers,105.0,-813,591,2025-01-04,8:00p,17595.0,2:01,Fiserv Forum
Miami Heat,100.0,Utah Jazz,136.0,-341,285,2025-01-04,8:00p,19934.0,2:07,Kaseya Center
Oklahoma City Thunder,105.0,Boston Celtics,92.0,-120,108,2025-01-05,3:30p,18203.0,2:08,Paycom Center
Washington Wizards,98.0,New Orleans Pelicans,110.0,177,-201,2025-01-05,6:00p,15451.0,2:08,Capital One Arena
Cleveland Cavaliers,115.0,Charlotte Hornets,105.0,-1249,848,2025-01-05,6:00p,19432.0,2:06,Rocket Mortgage Fieldhouse
Orlando Magic,92.0,Utah Jazz,105.0,-302,256,2025-01-05,6:30p,19198.0,2:03,Kia Center
Houston Rockets,119.0,Los Angeles Lakers,115.0,-179,158,2025-01-05,7:00p,18055.0,2:16,Toyota Center
Philadelphia 76ers,99.0,Phoenix Suns,109.0,-149,132,2025-01-06,7:00p,19791.0,2:16,Wells Fargo Center
Detroit Pistons,118.0,Portland Trail Blazers,115.0,-247,214,2025-01-06,7:00p,16002.0,2:09,Little Caesars Arena
Toronto Raptors,104.0,Milwaukee Bucks,128.0,252,-296,2025-01-06,7:30p,17829.0,2:05,Scotiabank Arena
New York Knicks,94.0,Orlando Magic,103.0,-645,489,2025-01-06,7:30p,19812.0,2:16,Madison Square Garden (IV)
Brooklyn Nets,99.0,Indiana Pacers,113.0,363,-452,2025-01-06,7:30p,16088.0,2:12,Barclays Center
Chicago Bulls,114.0,San Antonio Spurs,110.0,125,-140,2025-01-06,8:00p,18886.0,2:13,United Center
Memphis Grizzlies,119.0,Dallas Mavericks,104.0,-188,166,2025-01-06,8:00p,16412.0,2:12,FedEx Forum
Sacramento Kings,123.0,Miami Heat,118.0,-162,144,2025-01-06,10:00p,17832.0,2:43,Golden 1 Center
Washington Wizards,112.0,Houston Rockets,135.0,540,-724,2025-01-07,7:00p,12930.0,2:05,Capital One Arena
Charlotte Hornets,115.0,Phoenix Suns,104.0,156,-176,2025-01-07,7:00p,16647.0,2:16,Spectrum Center
Dallas Mavericks,118.0,Los Angeles Lakers,97.0,213,-246,2025-01-07,7:30p,20126.0,2:09,American Airlines Center
New Orleans Pelicans,97.0,Minnesota Timberwolves,104.0,167,-189,2025-01-07,8:00p,16282.0,2:18,Smoothie King Center
Utah Jazz,121.0,Atlanta Hawks,124.0,209,-242,2025-01-07,9:00p,18175.0,2:18,Delta Center
Philadelphia 76ers,109.0,Washington Wizards,103.0,-502,398,2025-01-08,7:00p,19762.0,2:18,Wells Fargo Center
Indiana Pacers,129.0,Chicago Bulls,113.0,-222,193,2025-01-08,7:00p,16758.0,2:15,Gainbridge Fieldhouse
Cleveland Cavaliers,129.0,Oklahoma City Thunder,122.0,-134,120,2025-01-08,7:00p,19432.0,2:19,Rocket Mortgage Fieldhouse
New York Knicks,112.0,Toronto Raptors,98.0,-649,492,2025-01-08,7:30p,19812.0,2:11,Madison Square Garden (IV)
Brooklyn Nets,98.0,Detroit Pistons,113.0,295,-355,2025-01-08,7:30p,16098.0,2:07,Barclays Center
New Orleans Pelicans,100.0,Portland Trail Blazers,119.0,-129,116,2025-01-08,8:00p,16425.0,1:58,Smoothie King Center
Milwaukee Bucks,121.0,San Antonio Spurs,105.0,-183,161,2025-01-08,9:30p,17341.0,2:10,Fiserv Forum
Cleveland Cavaliers,132.0,Toronto Raptors,126.0,-1149,796,2025-01-09,7:00p,19432.0,2:08,Rocket Mortgage Fieldhouse
Orlando Magic,89.0,Minnesota Timberwolves,104.0,186,-213,2025-01-09,7:00p,18846.0,2:16,Kia Center
Memphis Grizzlies,115.0,Houston Rockets,119.0,-110,-100,2025-01-09,8:00p,16298.0,2:33,FedEx Forum
Dallas Mavericks,117.0,Portland Trail Blazers,111.0,-305,258,2025-01-09,7:30p,19241.0,2:15,American Airlines Center
Phoenix Suns,123.0,Atlanta Hawks,115.0,-224,195,2025-01-09,9:00p,17071.0,2:12,Footprint Center
Utah Jazz,92.0,Miami Heat,97.0,184,-210,2025-01-09,9:00p,18175.0,2:11,Delta Center
Philadelphia 76ers,115.0,New Orleans Pelicans,123.0,-196,173,2025-01-10,7:00p,19779.0,2:12,Wells Fargo Center
Orlando Magic,106.0,Milwaukee Bucks,109.0,211,-244,2025-01-10,7:00p,18846.0,2:24,Kia Center
New York Knicks,101.0,Oklahoma City Thunder,126.0,162,-183,2025-01-10,7:30p,19812.0,2:06,Madison Square Garden (IV)
Boston Celtics,97.0,Sacramento Kings,114.0,-460,370,2025-01-10,7:30p,19156.0,2:00,TD Garden
Chicago Bulls,138.0,Washington Wizards,105.0,-636,486,2025-01-10,8:00p,21391.0,2:03,United Center
Phoenix Suns,114.0,Utah Jazz,106.0,-591,456,2025-01-11,5:00p,17071.0,2:10,Footprint Center
Detroit Pistons,123.0,Toronto Raptors,114.0,-204,179,2025-01-11,7:00p,19011.0,2:15,Little Caesars Arena
Minnesota Timberwolves,125.0,Memphis Grizzlies,127.0,-122,110,2025-01-11,8:00p,18978.0,2:17,Target Center
Portland Trail Blazers,98.0,Miami Heat,119.0,153,-173,2025-01-11,10:00p,17505.0,2:08,Moda Center
New York Knicks,140.0,Milwaukee Bucks,106.0,-177,157,2025-01-12,3:00p,19812.0,2:14,Madison Square Garden (IV)
Chicago Bulls,119.0,Sacramento Kings,124.0,143,-162,2025-01-12,3:30p,18233.0,2:06,United Center
Washington Wizards,95.0,Oklahoma City Thunder,136.0,900,-1351,2025-01-12,6:00p,15711.0,2:18,Capital One Arena
Boston Celtics,120.0,New Orleans Pelicans,119.0,-1136,791,2025-01-12,6:00p,19156.0,2:15,TD Garden
Cleveland Cavaliers,93.0,Indiana Pacers,108.0,-389,318,2025-01-12,6:00p,19432.0,2:08,Rocket Mortgage Fieldhouse
Orlando Magic,104.0,Philadelphia 76ers,99.0,-103,-107,2025-01-12,6:00p,17723.0,2:35,Kia Center
Utah Jazz,112.0,Brooklyn Nets,111.0,-180,159,2025-01-12,8:00p,18175.0,2:44,Delta Center
Phoenix Suns,120.0,Charlotte Hornets,113.0,-290,247,2025-01-12,9:00p,17071.0,2:16,Footprint Center
Washington Wizards,106.0,Minnesota Timberwolves,120.0,657,-925,2025-01-13,7:00p,14386.0,2:12,Capital One Arena
New York Knicks,119.0,Detroit Pistons,124.0,-291,247,2025-01-13,7:30p,19812.0,2:17,Madison Square Garden (IV)
Houston Rockets,120.0,Memphis Grizzlies,118.0,-149,133,2025-01-13,8:00p,18055.0,2:20,Toyota Center
Los Angeles Lakers,102.0,San Antonio Spurs,126.0,-165,146,2025-01-13,10:30p,18737.0,2:14,Crypto.com Arena
Philadelphia 76ers,102.0,Oklahoma City Thunder,118.0,486,-636,2025-01-14,7:00p,19771.0,2:05,Wells Fargo Center
Indiana Pacers,117.0,Cleveland Cavaliers,127.0,279,-334,2025-01-14,7:00p,16035.0,2:26,Gainbridge Fieldhouse
Atlanta Hawks,122.0,Phoenix Suns,117.0,129,-145,2025-01-14,7:30p,16221.0,2:11,State Farm Arena
Milwaukee Bucks,130.0,Sacramento Kings,115.0,-136,121,2025-01-14,8:00p,17341.0,2:08,Fiserv Forum
Chicago Bulls,113.0,New Orleans Pelicans,119.0,-116,104,2025-01-14,8:00p,17210.0,2:11,United Center
Portland Trail Blazers,114.0,Brooklyn Nets,132.0,-220,192,2025-01-14,10:00p,16127.0,2:13,Moda Center
Philadelphia 76ers,119.0,New York Knicks,125.0,0,0,2025-01-15,7:00p,20088.0,2:34,Wells Fargo Center
Toronto Raptors,110.0,Boston Celtics,97.0,728,-1030,2025-01-15,7:30p,18566.0,2:09,Scotiabank Arena
New Orleans Pelicans,119.0,Dallas Mavericks,116.0,118,-132,2025-01-15,8:00p,16488.0,2:13,Smoothie King Center
Chicago Bulls,94.0,Atlanta Hawks,110.0,-130,116,2025-01-15,8:00p,17692.0,2:06,United Center
