Visitor/Neutral,PTS,Home/Neutral,PTS2,AwayOdds,HomeOdds,Date,Start (ET),Attend.,LOG,Arena
Indiana Pacers,104,New Orleans Pelicans,119,230,-268,2024-12-15,5:00p,16792,2:08,Gainbridge Fieldhouse
Orlando Magic,100,New York Knicks,91,-185,163,2024-12-15,6:00p,17029,2:22,Kia Center
Washington Wizards,112,Boston Celtics,98,-1851,1145,2024-12-15,6:00p,16227,2:05,Capital One Arena
San Antonio Spurs,106,Minnesota Timberwolves,92,-177,156,2024-12-15,7:00p,16816,2:03,Frost Bank Center
Phoenix Suns,109,Portland Trail Blazers,116,486,-636,2024-12-15,8:00p,17071,2:06,Footprint Center
Los Angeles Lakers,110,Memphis Grizzlies,116,-186,164,2024-12-15,9:30p,15106,2:34,Crypto.com Arena
Detroit Pistons,124,Miami Heat,125,-184,162,2024-12-16,7:00p,17810,2:35,Little Caesars Arena
Charlotte Hornets,121,Philadelphia 76ers,108,-150,134,2024-12-16,7:00p,14677,2:22,Spectrum Center
Brooklyn Nets,130,Cleveland Cavaliers,101,-515,407,2024-12-16,7:30p,16588,2:18,Barclays Center
Toronto Raptors,122,Chicago Bulls,121,-122,109,2024-12-16,7:30p,16324,2:25,Scotiabank Arena
Detroit Pistons,126,Utah Jazz,119,146,-196,2024-12-19,7:00p,18022,2:32,Little Caesars Arena
Orlando Magic,105,Oklahoma City Thunder,99,-263,189,2024-12-19,7:00p,18896,2:26,Kia Center
Detroit Pistons,126,Utah Jazz,119,135,-181,2024-12-19,7:00p,18022,2:32,Little Caesars Arena
Washington Wizards,114,Charlotte Hornets,123,-178,134,2024-12-19,7:00p,15256,2:24,Capital One Arena
Toronto Raptors,101,Brooklyn Nets,94,131,-175,2024-12-19,7:30p,19214,2:20,Scotiabank Arena
Boston Celtics,117,Chicago Bulls,108,617,-1428,2024-12-19,7:30p,19156,2:06,TD Garden
Boston Celtics,123,Chicago Bulls,98,617,-1428,2024-12-21,8:00p,19803,1:57,United Center
San Antonio Spurs,126,Atlanta Hawks,133,-109,-120,2024-12-19,8:00p,17852,2:36,Frost Bank Center
