Visitor/Neutral,Home/Neutral,AwayOdds,HomeOdds,Cutoff Date
Orlando Magic,Brooklyn Nets,+269,-319,2024-12-29
Boston Celtics,Indiana Pacers,+471,-613,2024-12-29
Toronto Raptors,Atlanta Hawks,-107,-103,2024-12-29
Oklahoma City Thunder,Memphis Grizzlies,+217,-251,2024-12-30
Houston Rockets,Miami Heat,+298,-359,2024-12-30
Minnesota Timberwolves,San Antonio Spurs,+210,-243,2024-12-30
Charlotte Hornets,Chicago Bulls,-204,+180,2024-12-31
Washington Wizards,New York Knicks,-689,+517,2024-12-31
New Orleans Pelicans,LA Clippers,-185,+163,2024-12-31
Utah Jazz,DEN Nuggets,-257,+221,2024-12-31
Sacramento Kings,Dallas Mavericks,+153,-173,2024-12-31
GS Warriors,Cleveland Cavaliers,-173,+153,2024-12-31
Portland Trail Blazers,Philadelphia 76ers,-248,+214,2024-12-31
Boston Celtics,Toronto Raptors,+850,-1249,2024-12-31
Indiana Pacers,Milwaukee Bucks,-124,+111,2024-12-31
San Antonio Spurs,LA Clippers,+150,-170,2025-01-01
Oklahoma City Thunder,Minnesota Timberwolves,+231,-270,2025-01-01
Los Angeles Lakers,Cleveland Cavaliers,-190,+167,2025-01-01
Phoenix Suns,Memphis Grizzlies,+156,-176,2025-01-01
Washington Wizards,Chicago Bulls,-224,+195,2025-01-02
Detroit Pistons,Orlando Magic,+111,-124,2025-01-02
Miami Heat,New Orleans Pelicans,+300,-362,2025-01-02
Toronto Raptors,Brooklyn Nets,+114,-127,2025-01-02
New York Knicks,Utah Jazz,+589,-806,2025-01-02
Houston Rockets,Dallas Mavericks,+173,-196,2025-01-02
DEN Nuggets,Atlanta Hawks,+205,-236,2025-01-02
Sacramento Kings,Philadelphia 76ers,+218,-253,2025-01-02
Minnesota Timberwolves,Boston Celtics,-181,+160,2025-01-03
Miami Heat,Indiana Pacers,+103,-115,2025-01-03
Oklahoma City Thunder,LA Clippers,+430,-552,2025-01-03
Milwaukee Bucks,Brooklyn Nets,+589,-806,2025-01-03
GS Warriors,Philadelphia 76ers,+131,-148,2025-01-03
Los Angeles Lakers,Portland Trail Blazers,+338,-416,2025-01-03
Detroit Pistons,Charlotte Hornets,+228,-265,2025-01-04
Toronto Raptors,Orlando Magic,-114,+103,2025-01-04
New Orleans Pelicans,Washington Wizards,+244,-286,2025-01-04
Houston Rockets,Boston Celtics,-125,+112,2025-01-04
Oklahoma City Thunder,New York Knicks,+159,-180,2025-01-04
Dallas Mavericks,Cleveland Cavaliers,-278,+238,2025-01-04
DEN Nuggets,San Antonio Spurs,+207,-239,2025-01-04
Sacramento Kings,Memphis Grizzlies,+131,-147,2025-01-04
Los Angeles Lakers,Atlanta Hawks,+127,-142,2025-01-04
Brooklyn Nets,Philadelphia 76ers,-306,+259,2025-01-04
Indiana Pacers,Phoenix Suns,+117,-130,2025-01-05
Detroit Pistons,Minnesota Timberwolves,-287,+245,2025-01-05
Chicago Bulls,New York Knicks,-208,+182,2025-01-05
Milwaukee Bucks,Portland Trail Blazers,+591,-813,2025-01-05
San Antonio Spurs,DEN Nuggets,-155,+138,2025-01-05
Miami Heat,Utah Jazz,+285,-341,2025-01-05
GS Warriors,Memphis Grizzlies,+121,-136,2025-01-05
LA Clippers,Atlanta Hawks,+225,-262,2025-01-05
Oklahoma City Thunder,Boston Celtics,+108,-120,2025-01-05
Washington Wizards,New Orleans Pelicans,-201,+177,2025-01-05
Cleveland Cavaliers,Charlotte Hornets,+848,-1249,2025-01-05
Orlando Magic,Utah Jazz,+256,-302,2025-01-05
Houston Rockets,Los Angeles Lakers,+158,-179,2025-01-06
GS Warriors,Sacramento Kings,+127,-142,2025-01-06
Philadelphia 76ers,Phoenix Suns,+132,-149,2025-01-07
Detroit Pistons,Portland Trail Blazers,+214,-247,2025-01-07
Toronto Raptors,Milwaukee Bucks,-296,+252,2025-01-07
New York Knicks,Orlando Magic,+489,-645,2025-01-07
Brooklyn Nets,Indiana Pacers,-452,+363,2025-01-07
Chicago Bulls,San Antonio Spurs,-140,+125,2025-01-07
Memphis Grizzlies,Dallas Mavericks,+166,-188,2025-01-07
Minnesota Timberwolves,LA Clippers,+117,-130,2025-01-07
Sacramento Kings,Miami Heat,+144,-162,2025-01-07
Washington Wizards,Houston Rockets,-724,+540,2025-01-08
Charlotte Hornets,Phoenix Suns,-176,+156,2025-01-08
Dallas Mavericks,Los Angeles Lakers,-246,+213,2025-01-08
New Orleans Pelicans,Minnesota Timberwolves,-189,+167,2025-01-08
