Visitor/Neutral,PTS,Home/Neutral,PTS2,AwayOdds,HomeOdds
New York Knicks,109,Boston Celtics,132,+185,-225
Minnesota Timberwolves,103,Los Angeles Lakers,110,-113,-106
Indiana Pacers,115,Detroit Pistons,109,-208,+172
Brooklyn Nets,116,Atlanta Hawks,120,+225,-278
Orlando Magic,116,Miami Heat,97,+109,-129
Milwaukee Bucks,124,Philadelphia 76ers,109,-151,+135
Cleveland Cavaliers,136,Toronto Raptors,106,-250,+200
Charlotte Hornets,110,Houston Rockets,105,+240,-300
Chicago Bulls,111,New Orleans Pelicans,123,+217,-267
Memphis Grizzlies,126,Utah Jazz,124,-145,+120
Phoenix Suns,116,Los Angeles Clippers,113,-188,+157
Golden State Warriors,140,Portland Trail Blazers,104,-224,+184 
Boston Celtics,122,Washington Wizards,102,-1042,+668
San Antonio Spurs,109,Dallas Mavericks,120,+298,-377
Minnesota Timberwolves,117,Sacramento Kings,115,+102,-122
Oklahoma City Thunder,102,Denver Nuggets,87,-250,+230
Brooklyn Nets,101,Orlando Magic,116,+475,-650
Philadelphia 76ers,107,Toronto Raptors,115,-200,+185
Charlotte Hornets,120,Atlanta Hawks,125,+185,-225
Detroit Pistons,101,Cleveland Cavaliers,113,+422,-575
Indiana Pacers,98,New York Knicks,123,+131,-155
Memphis Grizzlies,108,Houston Rockets,128,+143,-172
Chicago Bulls,133,Milwaukee Bucks,122,+333,-450
Golden State Warriors,127,Utah Jazz,86,-258,+210
Phoenix Suns,116,Los Angeles Lakers,123,-156,+132
New Orleans Pelicans,105,Portland Trail Blazers,103,-258,+210
Los Angeles Clippers,109,Denver Nuggets,104,+280,-355
Cleveland Cavaliers,135,Washington Wizards,116,-452,+350
Boston Celtics,124,Detroit Pistons,118,-900,+600
Miami Heat,114,Charlotte Hornets,106,-275,+220
Orlando Magic,111,Memphis Grizzlies,124,-108,-112
Toronto Raptors,101,Minnesota Timberwolves,112,+750,-1200
Oklahoma City Thunder,114,Chicago Bulls,95,-425,+330
Houston Rockets,106,San Antonio Spurs,109,-124,+100
Dallas Mavericks,102,Phoenix Suns,114,-138,+116
Sacramento Kings,127,Los Angeles Lakers,131,-107,-112
Philadelphia 76ers,118,Indiana Pacers,114,+258,-333
New Orleans Pelicans,103,Portland Trail Blazers,125,-250,+205
Milwaukee Bucks,102,Brooklyn Nets,115,-372,+292
Atlanta Hawks,104,Oklahoma City Thunder,128,+385,-522
Los Angeles Clippers,112,Golden State Warriors,104,+294,-322
Indiana Pacers,115,Orlando Magic,119,-112,-108
Washington Wizards,121,Atlanta Hawks,119,-192,+160
Milwaukee Bucks,108,Boston Celtics,119,+159,-190
Denver Nuggets,127,Toronto Raptors,125,-360,+282
Detroit Pistons,98,Miami Heat,106,+102,-122
Cleveland Cavaliers,110,New York Knicks,104,+128,-157
Houston Rockets,106,San Antonio Spurs,101,-124,+100
Chicago Bulls,126,Memphis Grizzlies,123,+177,-212
Utah Jazz,102,Dallas Mavericks,110,+312,-400
Portland Trail Blazers,98,Sacramento Kings,111,+537,-774
Los Angeles Lakers,105,Phoenix Suns,109,+132,-156
Denver Nuggets,144,Brooklyn Nets,139,-193,+161
Dallas Mavericks,120,Minnesota Timberwolves,114,+162,-194
Sacramento Kings,113,Utah Jazz,96,-234,+190
New Orleans Pelicans,106,Golden State Warriors,124,-126,+106
Detroit Pistons,105,Philadelphia 76ers,95,+153,-183
Atlanta Hawks,120,Washington Wizards,133,-192,+160
Boston Celtics,132,Indiana Pacers,135,-256,+208
Los Angeles Lakers,110,Cleveland Cavaliers,134,+157,-188
Toronto Raptors,133,Charlotte Hornets,138,+204,-252
New York Knicks,116,Miami Heat,107,-129,+108
Orlando Magic,99,Chicago Bulls,102,+185,-225
Brooklyn Nets,119,Memphis Grizzlies,106,-136,+116
San Antonio Spurs,93,Oklahoma City Thunder,105,+549,-787
New Orleans Pelicans,89,Golden State Warriors,104,-126,+106
Portland Trail Blazers,106,Los Angeles Clippers,105,+272,-342
Milwaukee Bucks,99,Memphis Grizzlies,122,-247,+201
Houston Rockets,108,Dallas Mavericks,102,+206,-253
San Antonio Spurs,106,Utah Jazz,88,-256,+209
Phoenix Suns,125,Los Angeles Clippers,119,-188,+157
Boston Celtics,124,Charlotte Hornets,109,-606,+438
Orlando Magic,109,Cleveland Cavaliers,120,+236,-292
New York Knicks,128,Detroit Pistons,98,-263,+214
Sacramento Kings,123,Atlanta Hawks,115,-234,+190
Chicago Bulls,112,Brooklyn Nets,120,+104,-123
Los Angeles Lakers,131,Toronto Raptors,125,-595,+432
Indiana Pacers,118,New Orleans Pelicans,125,-184,+154
Denver Nuggets,116,Minnesota Timberwolves,119,+153,-184
Oklahoma City Thunder,137,Portland Trail Blazers,114,-612,+452
Boston Celtics,113,Charlotte Hornets,103,-606,+438
Memphis Grizzlies,124,Philadelphia 76ers,107,-135,+110
Sacramento Kings,128,Toronto Raptors,131,-662,+485
Golden State Warriors,127,Houston Rockets,121,+158,-191
Cleveland Cavaliers,114,Milwaukee Bucks,113,+110,-130
Minnesota Timberwolves,103,San Antonio Spurs,113,-167,+141
Miami Heat,118,Washington Wizards,98,-479,+355
Utah Jazz,103,Denver Nuggets,129,+220,-270
Portland Trail Blazers,97,Phoenix Suns,103,+600,-900
Oklahoma City Thunder,105,Los Angeles Clippers,92,-270,+220
Detroit Pistons,106,Brooklyn Nets,92,+370,-485
Atlanta Hawks,126,New Orleans Pelicans,111,+142,-170
Orlando Magic,85,Dallas Mavericks,108,+220,-270
Milwaukee Bucks,114,Cleveland Cavaliers,116,+225,-275
Golden State Warriors,125,Washington Wizards,112,-495,+370
Los Angeles Lakers,103,Detroit Pistons,115,-296,+238
Boston Celtics,123,Atlanta Hawks,93,-1200,+737
Memphis Grizzlies,104,Brooklyn Nets,106,-170,+145
Sacramento Kings,111,Miami Heat,110,+105,-125
Utah Jazz,135,Chicago Bulls,126,+245,-302
New York Knicks,97,Houston Rockets,109,-130,+110
Charlotte Hornets,93,Minnesota Timberwolves,114,+474,-691
Orlando Magic,86,Oklahoma City Thunder,102,+575,-850
Portland Trail Blazers,118,New Orleans Pelicans,100,-370,+295
Indiana Pacers,134,Dallas Mavericks,127,+157,-194
Toronto Raptors,119,Denver Nuggets,121,+410,-550
Philadelphia 76ers,116,Phoenix Suns,118,+250,-322
San Antonio Spurs,104,Los Angeles Clippers,113,+150,-180
Detroit Pistons,107,Charlotte Hornets,108,+101,-121
Orlando Magic,111,Indiana Pacers,118,-108,-112
New York Knicks,116,Atlanta Hawks,121,-285,+230
Golden State Warriors,118,Boston Celtics,112,+213,-260
San Antonio Spurs,100,Houston Rockets,127,+120,-145
Los Angeles Lakers,114,Memphis Grizzlies,131,-305,+243
Cleveland Cavaliers,131,New Orleans Pelicans,122,-259,+210
Chicago Bulls,99,Dallas Mavericks,119,+387,-520
Oklahoma City Thunder,122,Denver Nuggets,124,+109,-129
Miami Heat,112,Phoenix Suns,115,+168,-201
Philadelphia 76ers,98,Los Angeles Clippers,110,-102,-116
Toronto Raptors,107,Sacramento Kings,122,+485,-662
Minnesota Timberwolves,135,Chicago Bulls,119,-431,+333
Utah Jazz,100,Milwaukee Bucks,123,+300,-380
Portland Trail Blazers,105,San Antonio Spurs,118,+145,-173
Indiana Pacers,83,Charlotte Hornets,103,-275,+223
Atlanta Hawks,121,Detroit Pistons,122,-102,117
New Orleans Pelicans,88,Orlando Magic,115,+192,-238
Brooklyn Nets,104,Boston Celtics,108,+293,-373
Golden State Warriors,117,Cleveland Cavaliers,136,+140,-160
Phoenix Suns,114,Dallas Mavericks,113,+116,-138
Milwaukee Bucks,94,New York Knicks,116,+215,-260
Washington Wizards,104,Memphis Grizzlies,128,-125,+116
Houston Rockets,107,Oklahoma City Thunder,126,+210,-258
Miami Heat,122,Denver Nuggets,135,+125,-155
Portland Trail Blazers,102,Minnesota Timberwolves,127,+310,-397
Philadelphia 76ers,106,Los Angeles Lakers,116,+245,-307
Los Angeles Clippers,107,Sacramento Kings,98,+205,-250
Utah Jazz,111,San Antonio Spurs,110,-256,+209
Chicago Bulls,125,Atlanta Hawks,113,+120,-142
Brooklyn Nets,100,Cleveland Cavaliers,105,+552,-797
Toronto Raptors,103,Los Angeles Clippers,105,+205,-250
Houston Rockets,101,Detroit Pistons,99,-175,+145
Boston Celtics,113,Milwaukee Bucks,107,-190,+159
New York Knicks,121,Indiana Pacers,132,-155,+131
Washington Wizards,94,Orlando Magic,121,+452,-612
Miami Heat,95,Minnesota Timberwolves,94,+276,-345
Golden State Warriors,127,Oklahoma City Thunder,116,+205,-250
Charlotte Hornets,105,Philadelphia 76ers,107,+159,-190
Dallas Mavericks,120,Denver Nuggets,122,+107,-127
Sacramento Kings,127,Phoenix Suns,118,-300,+240
Memphis Grizzlies,134,Portland Trail Blazers,89,-112,-107
Toronto Raptors,103,Los Angeles Lakers,123,+432,-595
Cleveland Cavaliers,119,Chicago Bulls,113,-320,+260
Washington Wizards,92,Houston Rockets,107,+639,-971
Brooklyn Nets,107,New Orleans Pelicans,105,-123,+103
Los Angeles Clippers,128,Oklahoma City Thunder,134,+220,-270
Sacramento Kings,96,San Antonio Spurs,116,-126,+107
Atlanta Hawks,117,Boston Celtics,116,+740,-1176
Miami Heat,121,Detroit Pistons,123,-122,+102
Charlotte Hornets,89,Orlando Magic,114,+259,-322
