Visitor/Neutral,PTS,Home/Neutral,PTS2,AwayOdds,HomeOdds,Cutoff Date
IND Pacers,109,NO Pelicans,132,+230,-268,2024-12-15
ORL Magic,109,NY Knicks,132,-185,+163,2024-12-15
WAS Wizards,109,BOS Celtics,132,-1851,+1145,2024-12-15
SA Spurs,109,MIN Timberwolves,132,-177,+156,2024-12-16
PHX Suns,109,POR Trail Blazers,132,+486,-636,2024-12-16
GS Warriors,109,DAL Mavericks,132,-142,+127,2024-12-16
LA Lakers,109,MEM Grizzlies,132,-186,+164,2024-12-16
DET Pistons,109,MIA Heat,132,-184,+162,2024-12-17
CHA Hornets,109,PHI 76ers,132,-150,+134,2024-12-17
BKN Nets,109,CLE Cavaliers,132,-515,+407,2024-12-17
TOR Raptors,109,CHI Bulls,132,-122,+109,2024-12-17
SAC Kings,109,DEN Nuggets,132,+109,-121,2024-12-17
LA Clippers,109,UTA Jazz,132,+282,-337,2024-12-17
DET Pistons,109,UTA Jazz,132,+146,-196,2024-12-19
ORL Magic,109,OKC Thunder,132,-263,+189,2024-12-20
DET Pistons,109,UTA Jazz,132,+135,-181,2024-12-20
WAS Wizards,109,CHA Hornets,132,-178,+134,2024-12-20
TOR Raptors,109,BKN Nets,132,+131,-175,2024-12-20
BOS Celtics,109,CHI Bulls,132,+617,-1428,2024-12-20
MEM Grizzlies,109,GS Warriors,132,+133,-178,2024-12-20
SA Spurs,109,ATL Hawks,132,-109,-120,2024-12-20
HOU Rockets,109,NO Pelicans,132,+350,-555,2024-12-20
DAL Mavericks,109,LA Clippers,132,+198,-277,2024-12-20
PHX Suns,109,IND Pacers,132,+192,-270,2024-12-20
MIN Timberwolves,109,NY Knicks,132,+106,-140,2024-12-20
SAC Kings,109,LA Lakers,132,+163,-222,2024-12-20
POR Trail Blazers,109,DEN Nuggets,132,-400,+271,2024-12-20
PHI 76ers,109,CHA Hornets,132,+548,-1111,2024-12-21
CLE Cavaliers,109,MIL Bucks,132,+287,-434,2024-12-21
MIA Heat,109,OKC Thunder,132,-112,-117,2024-12-21
SAC Kings,109,LA Lakers,132,+175,-198,2024-12-21
ORL Magic,109,MIA Heat,132,+124,-139,2024-12-22
ATL Hawks,109,MEM Grizzlies,132,-112,+100,2024-12-22
BKN Nets,109,UTA Jazz,132,+113,-126,2024-12-22
CLE Cavaliers,109,PHI 76ers,132,+432,-552,2024-12-22
CHI Bulls,109,BOS Celtics,132,-719,+536,2024-12-22
MIL Bucks,109,WAS Wizards,132,+478,-625,2024-12-22
NO Pelicans,109,NY Knicks,132,-304,+258,2024-12-22
MIN Timberwolves,109,GS Warriors,132,+135,-152,2024-12-22
SA Spurs,109,POR Trail Blazers,132,+227,-265,2024-12-22
DAL Mavericks,109,LA Clippers,132,+143,-161,2024-12-22
PHX Suns,109,DET Pistons,132,+206,-238,2024-12-22
SAC Kings,109,IND Pacers,132,+116,-130,2024-12-22
TOR Raptors,109,HOU Rockets,132,-318,+268,2024-12-22
NO Pelicans,109,DEN Nuggets,132,-446,+359,2024-12-23
ORL Magic,109,BOS Celtics,132,-487,+387,2024-12-24
PHI 76ers,109,SA Spurs,132,+182,-208,2024-12-24
CHA Hornets,109,HOU Rockets,132,-241,+209,2024-12-24
CLE Cavaliers,109,UTA Jazz,132,+742,-1052,2024-12-24
MIA Heat,109,BKN Nets,132,+407,-515,2024-12-24
ATL Hawks,109,MIN Timberwolves,132,-160,+142,2024-12-24
NY Knicks,109,TOR Raptors,132,+619,-862,2024-12-24
MEM Grizzlies,109,LA Clippers,132,+195,-224,2024-12-24
OKC Thunder,109,WAS Wizards,132,+978,-1492,2024-12-24
CHI Bulls,109,MIL Bucks,132,-119,+107,2024-12-24
DAL Mavericks,109,POR Trail Blazers,132,+453,-588,2024-12-24
GS Warriors,109,IND Pacers,132,+192,-220,2024-12-24
DEN Nuggets,109,PHX Suns,132,+166,-189,2024-12-24
LA Lakers,109,DET Pistons,132,+193,-222,2024-12-24
NY Knicks,109,SA Spurs,132,+294,-434,2024-12-25
DAL Mavericks,109,MIN Timberwolves,132,+150,-204,2024-12-25
BOS Celtics,109,PHI 76ers,132,+298,-454,2024-12-25
GS Warriors,109,LA Lakers,132,+138,-156,2024-12-26
PHX Suns,109,DEN Nuggets,132,-141,+126,2024-12-26
NY Knicks,109,SA Spurs,132,+304,-383,2024-12-26
DAL Mavericks,109,MIN Timberwolves,132,+177,-207,2024-12-26
WAS Wizards,109,CHA Hornets,132,-185,+163,2024-12-27
ORL Magic,109,MIA Heat,132,-104,-106,2024-12-27
IND Pacers,109,OKC Thunder,132,-207,+181,2024-12-27
ATL Hawks,109,CHI Bulls,132,+217,-251,2024-12-27
MEM Grizzlies,109,TOR Raptors,132,+495,-653,2024-12-27
MIL Bucks,109,BKN Nets,132,+392,-492,2024-12-27
NO Pelicans,109,HOU Rockets,132,-301,+255,2024-12-27
POR Trail Blazers,109,UTA Jazz,132,+107,-119,2024-12-27
SAC Kings,109,DET Pistons,132,+192,-221,2024-12-27
ORL Magic,109,NY Knicks,132,-269,+230,2024-12-28
BKN Nets,109,SA Spurs,132,-273,+233,2024-12-28
BOS Celtics,109,IND Pacers,132,+505,-671,2024-12-28
NO Pelicans,109,MEM Grizzlies,132,-387,+317,2024-12-28
HOU Rockets,109,MIN Timberwolves,132,+103,-115,2024-12-28
DEN Nuggets,109,CLE Cavaliers,132,-143,+127,2024-12-28
PHX Suns,109,DAL Mavericks,132,+100,-111,2024-12-28
LA Clippers,109,GS Warriors,132,+156,-177,2024-12-28
ATL Hawks,109,MIA Heat,132,0,0,2024-12-28
CHA Hornets,109,OKC Thunder,132,-649,+493,2024-12-28
WAS Wizards,109,NY Knicks,132,-628,+481,2024-12-29
CHI Bulls,109,MIL Bucks,132,-170,+151,2024-12-29
GS Warriors,109,PHX Suns,132,+213,-246,2024-12-29
DEN Nuggets,109,DET Pistons,132,0,0,2024-12-29
UTA Jazz,109,PHI 76ers,132,-249,+214,2024-12-29
POR Trail Blazers,109,DAL Mavericks,132,-197,+173,2024-12-29
LA Lakers,109,SAC Kings,132,-103,-107,2024-12-29
ORL Magic,109,BKN Nets,132,+269,-319,2024-12-29
TOR Raptors,109,ATL Hawks,132,-107,-103,2024-12-29
BOS Celtics,109,IND Pacers,132,+471,-613,2024-12-29
HOU Rockets,109,MIA Heat,132,+298,-359,2024-12-30
OKC Thunder,109,MEM Grizzlies,132,+217,-251,2024-12-30
MIN Timberwolves,109,SA Spurs,132,+210,-243,2024-12-30
CHA Hornets,109,PHX Suns,132,0,0,2025-01-08
WAS Wizards,109,HOU Rockets,132,0,0,2025-01-08
