Visitor/Neutral,Home/Neutral,AwayOdds,HomeOdds,Cutoff Date
Indiana Pacers,New Orleans Pelicans,+230,-268,2024-12-15
Orlando Magic,New York Knicks,-185,+163,2024-12-15
Washington Wizards,Boston Celtics,-1851,+1145,2024-12-15
San Antonio Spurs,Minnesota Timberwolves,-177,+156,2024-12-16
Phoenix Suns,Portland Trail Blazers,+486,-636,2024-12-16
GS Warriors,Dallas Mavericks,-142,+127,2024-12-16
Los Angeles Lakers,Memphis Grizzlies,-186,+164,2024-12-16
Detroit Pistons,Miami Heat,-184,+162,2024-12-17
Charlotte Hornets,Philadelphia 76ers,-150,+134,2024-12-17
Brooklyn Nets,Cleveland Cavaliers,-515,+407,2024-12-17
Toronto Raptors,Chicago Bulls,-122,+109,2024-12-17
Sacramento Kings,DEN Nuggets,+109,-121,2024-12-17
LA Clippers,Utah Jazz,+282,-337,2024-12-17
Detroit Pistons,Utah Jazz,+146,-196,2024-12-19
Orlando Magic,Oklahoma City Thunder,-263,+189,2024-12-20
Detroit Pistons,Utah Jazz,+135,-181,2024-12-20
Washington Wizards,Charlotte Hornets,-178,+134,2024-12-20
Toronto Raptors,Brooklyn Nets,+131,-175,2024-12-20
Boston Celtics,Chicago Bulls,+617,-1428,2024-12-20
Memphis Grizzlies,GS Warriors,+133,-178,2024-12-20
San Antonio Spurs,Atlanta Hawks,-109,-120,2024-12-20
Houston Rockets,New Orleans Pelicans,+350,-555,2024-12-20
Dallas Mavericks,LA Clippers,+198,-277,2024-12-20
Phoenix Suns,Indiana Pacers,+192,-270,2024-12-20
Minnesota Timberwolves,New York Knicks,+106,-140,2024-12-20
Sacramento Kings,Los Angeles Lakers,+163,-222,2024-12-20
Portland Trail Blazers,DEN Nuggets,-400,+271,2024-12-20
Philadelphia 76ers,Charlotte Hornets,+548,-1111,2024-12-21
Cleveland Cavaliers,Milwaukee Bucks,+287,-434,2024-12-21
Miami Heat,Oklahoma City Thunder,-112,-117,2024-12-21
Sacramento Kings,Los Angeles Lakers,+175,-198,2024-12-21
Orlando Magic,Miami Heat,+124,-139,2024-12-22
Atlanta Hawks,Memphis Grizzlies,-112,+100,2024-12-22
Brooklyn Nets,Utah Jazz,+113,-126,2024-12-22
Cleveland Cavaliers,Philadelphia 76ers,+432,-552,2024-12-22
Chicago Bulls,Boston Celtics,-719,+536,2024-12-22
Milwaukee Bucks,Washington Wizards,+478,-625,2024-12-22
New Orleans Pelicans,New York Knicks,-304,+258,2024-12-22
Minnesota Timberwolves,GS Warriors,+135,-152,2024-12-22
San Antonio Spurs,Portland Trail Blazers,+227,-265,2024-12-22
Dallas Mavericks,LA Clippers,+143,-161,2024-12-22
Phoenix Suns,Detroit Pistons,+206,-238,2024-12-22
Sacramento Kings,Indiana Pacers,+116,-130,2024-12-22
Toronto Raptors,Houston Rockets,-318,+268,2024-12-22
New Orleans Pelicans,DEN Nuggets,-446,+359,2024-12-23
Orlando Magic,Boston Celtics,-487,+387,2024-12-24
Philadelphia 76ers,San Antonio Spurs,+182,-208,2024-12-24
Charlotte Hornets,Houston Rockets,-241,+209,2024-12-24
Cleveland Cavaliers,Utah Jazz,+742,-1052,2024-12-24
Miami Heat,Brooklyn Nets,+407,-515,2024-12-24
Atlanta Hawks,Minnesota Timberwolves,-160,+142,2024-12-24
New York Knicks,Toronto Raptors,+619,-862,2024-12-24
Memphis Grizzlies,LA Clippers,+195,-224,2024-12-24
Oklahoma City Thunder,Washington Wizards,+978,-1492,2024-12-24
Chicago Bulls,Milwaukee Bucks,-119,+107,2024-12-24
Dallas Mavericks,Portland Trail Blazers,+453,-588,2024-12-24
GS Warriors,Indiana Pacers,+192,-220,2024-12-24
DEN Nuggets,Phoenix Suns,+166,-189,2024-12-24
Los Angeles Lakers,Detroit Pistons,+193,-222,2024-12-24
New York Knicks,San Antonio Spurs,+294,-434,2024-12-25
Dallas Mavericks,Minnesota Timberwolves,+150,-204,2024-12-25
Boston Celtics,Philadelphia 76ers,+298,-454,2024-12-25
GS Warriors,Los Angeles Lakers,+138,-156,2024-12-26
Phoenix Suns,DEN Nuggets,-141,+126,2024-12-26
New York Knicks,San Antonio Spurs,+304,-383,2024-12-26
Dallas Mavericks,Minnesota Timberwolves,+177,-207,2024-12-26
Washington Wizards,Charlotte Hornets,-185,+163,2024-12-27
Orlando Magic,Miami Heat,-104,-106,2024-12-27
Indiana Pacers,Oklahoma City Thunder,-207,+181,2024-12-27
Atlanta Hawks,Chicago Bulls,+217,-251,2024-12-27
Memphis Grizzlies,Toronto Raptors,+495,-653,2024-12-27
Milwaukee Bucks,Brooklyn Nets,+392,-492,2024-12-27
New Orleans Pelicans,Houston Rockets,-301,+255,2024-12-27
Portland Trail Blazers,Utah Jazz,+107,-119,2024-12-27
Sacramento Kings,Detroit Pistons,+192,-221,2024-12-27
Orlando Magic,New York Knicks,-269,+230,2024-12-28
Brooklyn Nets,San Antonio Spurs,-273,+233,2024-12-28
Boston Celtics,Indiana Pacers,+505,-671,2024-12-28
New Orleans Pelicans,Memphis Grizzlies,-387,+317,2024-12-28
Houston Rockets,Minnesota Timberwolves,+103,-115,2024-12-28
DEN Nuggets,Cleveland Cavaliers,-143,+127,2024-12-28
Phoenix Suns,Dallas Mavericks,+100,-111,2024-12-28
LA Clippers,GS Warriors,+156,-177,2024-12-28
Atlanta Hawks,Miami Heat,0,0,2024-12-28
Charlotte Hornets,Oklahoma City Thunder,-649,+493,2024-12-28
Washington Wizards,New York Knicks,-628,+481,2024-12-29
Chicago Bulls,Milwaukee Bucks,-170,+151,2024-12-29
GS Warriors,Phoenix Suns,+213,-246,2024-12-29
DEN Nuggets,Detroit Pistons,0,0,2024-12-29
Utah Jazz,Philadelphia 76ers,-249,+214,2024-12-29
Portland Trail Blazers,Dallas Mavericks,-197,+173,2024-12-29
Los Angeles Lakers,Sacramento Kings,-103,-107,2024-12-29
Orlando Magic,Brooklyn Nets,+269,-319,2024-12-29
Toronto Raptors,Atlanta Hawks,-107,-103,2024-12-29
Boston Celtics,Indiana Pacers,+471,-613,2024-12-29
Houston Rockets,Miami Heat,+298,-359,2024-12-30
Oklahoma City Thunder,Memphis Grizzlies,+217,-251,2024-12-30
Minnesota Timberwolves,San Antonio Spurs,+210,-243,2024-12-30
Charlotte Hornets,Phoenix Suns,0,0,2025-01-08
Washington Wizards,Houston Rockets,0,0,2025-01-08
