Game Name,Home Team,Away Team,Cutoff Time,Home Odds,Away Odds
Cleveland Cavaliers v New Orleans Pelicans,Cleveland Cavaliers,New Orleans Pelicans,2024-11-21T00:40:00Z,1.092,8.629
Milwaukee Bucks v Chicago Bulls,Milwaukee Bucks,Chicago Bulls,2024-11-21T00:40:00Z,1.285,3.91
Houston Rockets v Indiana Pacers,Houston Rockets,Indiana Pacers,2024-11-21T01:10:00Z,1.405,3.132
Memphis Grizzlies v Philadelphia 76ers,Memphis Grizzlies,Philadelphia 76ers,2024-11-21T01:10:00Z,2.334,1.67
Oklahoma City Thunder v Portland Trail Blazers,Oklahoma City Thunder,Portland Trail Blazers,2024-11-21T01:10:00Z,1.151,6.025
Golden State Warriors v Atlanta Hawks,Golden State Warriors,Atlanta Hawks,2024-11-21T03:10:00Z,1.313,3.679
Phoenix Suns v New York Knicks,Phoenix Suns,New York Knicks,2024-11-21T03:10:00Z,2.662,1.529
LA Clippers v Orlando Magic,LA Clippers,Orlando Magic,2024-11-21T03:40:00Z,2.383,1.64
Philadelphia 76ers v Brooklyn Nets,Philadelphia 76ers,Brooklyn Nets,2024-11-23T00:00:00Z,1.29,3.42
New Orleans Pelicans v Golden State Warriors,New Orleans Pelicans,Golden State Warriors,2024-11-23T00:30:00Z,3.51,1.27
Houston Rockets v Portland Trail Blazers,Houston Rockets,Portland Trail Blazers,2024-11-23T01:00:00Z,1.18,4.53
